url_length,domain_length,n_dots,n_hyphens,has_ip,has_at_symbol,has_double_slash,suspicious_tld,brand_kw_in_url,n_subdomains,url_entropy,special_char_count,path_depth,has_https,query_param_count,min_brand_hamming,closest_brand_match,brand_color_score,dominant_hue,color_variance,red_ratio,green_ratio,blue_ratio,n_forms,n_iframes,n_external_links,n_password_inputs,n_hidden_inputs,n_scripts,n_meta_refresh,has_favicon,external_action,suspicious_js,title_length,html_length,load_time_ms,status_code,url,label
36,22,1,2,0,0,0,1,4,0,4.004886164091843,2,1,0,0,127,0.50390625,0.9995821109035048,0.9997587316176471,1.7065013249715169,0.9997587316176471,0.9997587316176471,0.9997587316176471,0,0,0,0,0,0,0,0,0,0,0,165,103.85704040527344,407,http://paypal-secure-login.tk/verify,1
33,11,3,0,1,0,0,0,2,2,2.2998963911678914,0,2,0,0,127,0.50390625,0.9995821109035048,0.9997587316176471,1.7065013249715169,0.9997587316176471,0.9997587316176471,0.9997587316176471,0,0,0,0,0,0,0,0,0,0,0,165,105.56721687316895,407,http://192.168.1.1/facebook/login,1
46,32,2,2,0,0,0,0,2,1,3.8195488277869583,2,1,0,0,127,0.50390625,0.9995821109035048,0.9997587316176471,1.7065013249715169,0.9997587316176471,0.9997587316176471,0.9997587316176471,0,0,0,0,0,0,0,0,0,0,0,165,99.17449951171875,407,http://www.amazon-account-suspended.com/signin,1
47,40,4,1,0,0,0,0,3,3,3.9464393446710155,1,0,0,0,127,0.50390625,0.9995821109035048,0.9997587316176471,1.7065013249715169,0.9997587316176471,0.9997587316176471,0.9997587316176471,0,0,0,0,0,0,0,0,0,0,0,165,104.98189926147461,407,http://google.com.securelogin.phish-example.net,1
54,19,1,2,0,0,0,1,3,0,3.616348566075164,2,2,0,1,127,0.50390625,0.9995821109035048,0.9997587316176471,1.7065013249715169,0.9997587316176471,0.9997587316176471,0.9997587316176471,0,0,0,0,0,0,0,0,0,0,0,165,98.89078140258789,407,http://apple-id-support.tk/account/verify?id=123456789,1
40,19,1,1,0,0,0,1,3,0,3.9321380397593746,1,2,0,0,127,0.50390625,0.9995821109035048,0.9997587316176471,1.7065013249715169,0.9997587316176471,0.9997587316176471,0.9997587316176471,0,0,0,0,0,0,0,0,0,0,0,165,103.3790111541748,407,http://microsoft-update.ml/windows/login,1
42,19,1,1,0,0,0,1,2,0,3.431623565847431,1,2,0,0,127,0.50390625,0.9995821109035048,0.9997587316176471,1.7065013249715169,0.9997587316176471,0.9997587316176471,0.9997587316176471,0,0,0,0,0,0,0,0,0,0,0,165,104.87866401672363,407,http://netflixx-billing.gq/account/payment,1
52,40,4,1,0,0,0,0,3,3,3.875070520364182,1,1,0,0,127,0.50390625,0.9995821109035048,0.9997587316176471,1.7065013249715169,0.9997587316176471,0.9997587316176471,0.9997587316176471,0,0,0,0,0,0,0,0,0,0,0,165,100.76618194580078,407,http://bankofamerica.com.login.banka-secure.com/auth,1
47,10,1,0,0,0,0,0,1,0,2.9219280948873623,3,2,0,1,127,0.50390625,0.9995821109035048,0.9997587316176471,1.7065013249715169,0.9997587316176471,0.9997587316176471,0.9997587316176471,0,0,0,0,0,0,0,0,0,0,0,165,109.19022560119629,407,http://paypa1.com/cgi-bin/webscr?cmd=_login-run,1
49,18,1,1,0,0,0,1,3,0,3.5724312513221195,1,1,0,1,127,0.50390625,0.9995821109035048,0.9997587316176471,1.7065013249715169,0.9997587316176471,0.9997587316176471,0.9997587316176471,0,0,0,0,0,0,0,0,0,0,0,165,175.4465103149414,407,http://secure-facebook.tk/login.php?redirect=home,1
22,14,2,0,0,0,0,0,1,1,3.0391486719030705,0,0,1,0,127,0.50390625,0.7809018253577429,0.3778033088235294,7056.307846069336,0.1714623544730392,0.3874952129289216,0.5744523590686275,1,1,0,1,0,0,0,0,1,0,22,247,0.0,0,https://www.paypal.com,0
24,16,2,0,0,0,0,0,1,1,3.1556390622295662,0,0,1,0,127,0.50390625,0.9656542068883126,0.5740243949142156,8758.443337539831,0.23797200520833334,0.5434924555759804,0.9406087239583333,1,1,0,1,0,0,0,0,1,0,24,249,0.0,0,https://www.facebook.com,0
22,14,2,0,0,0,0,0,1,1,2.8962915290459277,0,0,1,0,127,0.50390625,0.8156105062413843,0.6017003676470588,10655.719548543295,0.9709779028799019,0.6517137714460784,0.18240942861519607,1,1,0,1,0,0,0,0,1,0,22,247,0.0,0,https://www.amazon.com,0
22,14,2,0,0,0,0,0,1,1,2.8423709931771084,0,0,1,0,127,0.50390625,0.9584564025221299,0.9764348447712418,453.4969872368708,0.9709779028799019,0.9764016544117647,0.9819249770220588,1,1,0,1,0,0,0,0,1,0,22,247,0.0,0,https://www.google.com,0
21,13,2,0,0,0,0,0,1,1,3.0269868333592873,0,0,1,0,127,0.50390625,0.9038464768382183,0.9446659262663398,431.90550165706213,0.939208984375,0.9446327359068627,0.9501560585171569,1,1,0,1,0,0,0,0,1,0,21,246,0.0,0,https://www.apple.com,0
25,17,2,0,0,0,0,0,1,1,3.1751231351134606,0,0,1,0,127,0.50390625,0.8559105789601288,0.5210678998161765,8814.908094187578,0.1714623544730392,0.5466787300857843,0.8450626148897059,1,1,0,1,0,0,0,0,1,0,25,250,0.0,0,https://www.microsoft.com,0
23,15,2,0,0,0,0,0,1,1,3.456564762130954,0,0,1,0,127,0.50390625,0.9435612508524277,0.23227698631535948,7700.170279158488,0.2268200444240196,0.23224379595588235,0.23776711856617647,1,1,0,1,0,0,0,0,1,0,23,248,0.0,0,https://www.netflix.com,0
29,21,2,0,0,0,0,0,1,1,3.558518613048906,0,0,1,0,127,0.50390625,0.9105820002107818,0.4808912888071895,10194.438878271316,0.8851466758578431,0.2664646522671569,0.29106253829656864,1,1,0,1,0,0,0,0,1,0,29,254,0.0,0,https://www.bankofamerica.com,0
18,10,1,0,0,0,0,0,0,0,3.3219280948873626,0,0,1,0,127,0.50390625,0.6558636199905727,0.8013630387050653,703.3896897567644,0.7959060968137255,0.8013298483455882,0.8068531709558824,5,0,98,0,7,72,0,1,0,0,61,564324,0.0,0,https://github.com,0
25,17,1,0,0,0,0,0,0,0,3.6901165175936645,0,0,1,0,127,0.50390625,0.6558636199905727,0.8013630387050653,703.3896897567644,0.7959060968137255,0.8013298483455882,0.8068531709558824,1,1,0,1,0,0,0,0,1,0,25,250,0.0,0,https://stackoverflow.com,0
