url,true_label,p_phish,reason_1,reason_2,reason_3
http://paypal-secure-login.tk/verify,PHISHING,0.9454,has_https=0.00(↑ phish),html_length=165.00(↑ phish),n_forms=0.00(↑ phish)
http://192.168.1.1/facebook/login,PHISHING,0.9304,has_https=0.00(↑ phish),html_length=165.00(↑ phish),n_forms=0.00(↑ phish)
http://www.amazon-account-suspended.com/signin,PHISHING,0.9454,has_https=0.00(↑ phish),html_length=165.00(↑ phish),n_forms=0.00(↑ phish)
http://google.com.securelogin.phish-example.net,PHISHING,0.9379,has_https=0.00(↑ phish),html_length=165.00(↑ phish),n_forms=0.00(↑ phish)
http://apple-id-support.tk/account/verify?id=123456789,PHISHING,0.9454,has_https=0.00(↑ phish),html_length=165.00(↑ phish),n_forms=0.00(↑ phish)
http://microsoft-update.ml/windows/login,PHISHING,0.9454,has_https=0.00(↑ phish),html_length=165.00(↑ phish),n_forms=0.00(↑ phish)
http://netflixx-billing.gq/account/payment,PHISHING,0.9454,has_https=0.00(↑ phish),html_length=165.00(↑ phish),n_forms=0.00(↑ phish)
http://bankofamerica.com.login.banka-secure.com/auth,PHISHING,0.9454,has_https=0.00(↑ phish),html_length=165.00(↑ phish),n_forms=0.00(↑ phish)
http://paypa1.com/cgi-bin/webscr?cmd=_login-run,PHISHING,0.9304,has_https=0.00(↑ phish),html_length=165.00(↑ phish),n_forms=0.00(↑ phish)
http://secure-facebook.tk/login.php?redirect=home,PHISHING,0.9454,has_https=0.00(↑ phish),html_length=165.00(↑ phish),n_forms=0.00(↑ phish)
https://www.paypal.com,BENIGN,0.0546,green_ratio=0.39(↓ benign),has_https=1.00(↓ benign),n_forms=1.00(↓ benign)
https://www.facebook.com,BENIGN,0.0546,green_ratio=0.54(↓ benign),has_https=1.00(↓ benign),n_forms=1.00(↓ benign)
https://www.amazon.com,BENIGN,0.0571,green_ratio=0.65(↓ benign),has_https=1.00(↓ benign),n_forms=1.00(↓ benign)
https://www.google.com,BENIGN,0.1096,has_https=1.00(↓ benign),n_forms=1.00(↓ benign),html_length=247.00(↓ benign)
https://www.apple.com,BENIGN,0.0646,green_ratio=0.94(↓ benign),has_https=1.00(↓ benign),n_forms=1.00(↓ benign)
https://www.microsoft.com,BENIGN,0.0546,green_ratio=0.55(↓ benign),has_https=1.00(↓ benign),n_forms=1.00(↓ benign)
https://www.netflix.com,BENIGN,0.0546,green_ratio=0.23(↓ benign),has_https=1.00(↓ benign),n_forms=1.00(↓ benign)
https://www.bankofamerica.com,BENIGN,0.0621,green_ratio=0.27(↓ benign),has_https=1.00(↓ benign),n_forms=1.00(↓ benign)
https://github.com,BENIGN,0.0796,green_ratio=0.80(↓ benign),has_https=1.00(↓ benign),n_forms=5.00(↓ benign)
https://stackoverflow.com,BENIGN,0.0571,green_ratio=0.80(↓ benign),has_https=1.00(↓ benign),n_forms=1.00(↓ benign)
