url_length,domain_length,n_dots,n_hyphens,has_ip,has_at_symbol,has_double_slash,suspicious_tld,brand_kw_in_url,n_subdomains,url_entropy,special_char_count,path_depth,has_https,query_param_count,min_brand_hamming,closest_brand_match,brand_color_score,dominant_hue,color_variance,red_ratio,green_ratio,blue_ratio,n_forms,n_iframes,n_external_links,n_password_inputs,n_hidden_inputs,n_scripts,n_meta_refresh,has_favicon,external_action,suspicious_js,title_length,html_length,load_time_ms,status_code,url,label
45,18,1,1,0,0,0,0,2,0,3.4193819456463714,2,2,1,0,127,0.50390625,0.6558636199905727,0.8013630387050653,703.3896897567644,0.7959060968137255,0.8013298483455882,0.8068531709558824,1,1,0,1,0,0,0,0,1,0,26,251,0,0,https://training-lab.local/paypal-clone/login,1
38,8,3,0,1,0,0,0,1,2,1.811278124459133,1,2,0,0,127,0.50390625,0.6558636199905727,0.8013630387050653,703.3896897567644,0.7959060968137255,0.8013298483455882,0.8068531709558824,1,1,0,1,0,0,0,0,1,0,16,241,0,0,http://10.0.0.8/facebook/session-check,1
49,27,1,2,0,0,0,0,2,0,3.824538780727774,3,1,1,0,127,0.50390625,0.8140462703021658,0.5772875816993465,10805.750217013889,0.9709779028799019,0.5784754136029412,0.18240942861519607,1,1,0,1,0,0,0,0,1,0,35,260,0,0,https://secure-amazon-check.example/signin-review,1
49,35,3,1,0,0,0,0,4,2,4.147439360470672,1,1,1,0,127,0.50390625,0.9584564025221299,0.9764348447712418,453.4969872368708,0.9709779028799019,0.9764016544117647,0.9819249770220588,1,1,0,1,0,0,0,0,1,0,43,268,0,0,https://accounts.google.verify-demo.example/login,1
56,20,1,1,0,0,0,0,3,0,3.6219280948873624,1,2,1,1,127,0.50390625,0.9038464768382183,0.9446659262663398,431.90550165706213,0.939208984375,0.9446327359068627,0.9501560585171569,1,1,0,1,0,0,0,0,1,0,28,253,0,0,https://appleid-support.demo/account/verify?id=123456789,1
45,23,1,1,0,0,0,0,2,0,3.7081320646586016,1,2,1,0,127,0.50390625,0.8559105789601288,0.5210678998161765,8814.908094187578,0.1714623544730392,0.5466787300857843,0.8450626148897059,1,1,0,1,0,0,0,0,1,0,31,256,0,0,https://microsoft-security.demo/windows/login,1
54,30,1,2,0,0,0,0,2,0,3.786569246460625,2,2,1,0,127,0.50390625,0.9435612508524277,0.23227698631535948,7700.170279158488,0.2268200444240196,0.23224379595588235,0.23776711856617647,1,1,0,1,0,0,0,0,1,0,38,263,0,0,https://netflix-billing-review.example/account/payment,1
53,40,2,2,0,0,0,0,1,1,4.222573883611435,2,1,1,0,127,0.50390625,0.9105820002107818,0.4808912888071895,10194.438878271316,0.8851466758578431,0.2664646522671569,0.29106253829656864,1,1,0,1,0,0,0,0,1,0,48,273,0,0,https://bankofamerica-auth.demo-security.example/auth,1
57,19,1,1,0,0,0,0,1,0,3.391892644680932,4,2,1,1,127,0.50390625,0.6558636199905727,0.8013630387050653,703.3896897567644,0.7959060968137255,0.8013298483455882,0.8068531709558824,1,1,0,1,0,0,0,0,1,0,27,252,0,0,https://paypa1-demo.example/cgi-bin/webscr?cmd=_login-run,1
63,31,1,2,0,0,0,0,2,0,4.063562746695365,2,1,1,1,127,0.50390625,0.9656542068883126,0.5740243949142156,8758.443337539831,0.23797200520833334,0.5434924555759804,0.9406087239583333,1,1,0,1,0,0,0,0,1,0,39,264,0,0,https://facebook-security-check.example/login.php?redirect=home,1
18,10,1,0,0,0,0,0,1,0,2.6464393446710157,0,0,1,0,127,0.50390625,0.9584564025221299,0.9764348447712418,453.4969872368708,0.9709779028799019,0.9764016544117647,0.9819249770220588,1,0,6,0,6,10,0,0,0,1,6,83444,0,0,https://google.com,0
24,16,1,1,0,0,0,0,0,0,3.327819531114783,1,0,1,0,127,0.50390625,0.6558636199905727,0.8013630387050653,703.3896897567644,0.7959060968137255,0.8013298483455882,0.8068531709558824,1,1,0,1,0,0,0,0,1,0,24,249,0,0,https://gtld-servers.net,0
19,11,1,0,0,0,0,0,0,0,3.095795255000934,0,0,1,0,127,0.50390625,0.6558636199905727,0.8013630387050653,703.3896897567644,0.7959060968137255,0.8013298483455882,0.8068531709558824,0,0,0,0,0,0,0,0,0,0,24,1557,0,0,https://gstatic.com,0
20,12,1,0,0,0,0,0,1,0,3.0220552088742005,0,0,1,0,127,0.50390625,0.9656542068883126,0.5740243949142156,8758.443337539831,0.23797200520833334,0.5434924555759804,0.9406087239583333,1,0,24,1,0,105,1,1,0,0,8,451735,0,0,https://facebook.com,0
