url,true_label,p_phish,reason_1,reason_2,reason_3
example/paypal_login_clone/index.html,PHISHING,0.9329,path_depth=2.00(↑ phish),n_dots=0.00(↑ phish),has_https=0.00(↑ phish)
example/Instagram-and-Facebook-login-page/facebook-login.html,PHISHING,0.9404,path_depth=2.00(↑ phish),n_dots=0.00(↑ phish),has_https=0.00(↑ phish)
example/amazon-signin.html,PHISHING,0.9454,path_depth=1.00(↑ phish),n_dots=0.00(↑ phish),has_https=0.00(↑ phish)
example/Google-login-page-clone/index.html,PHISHING,0.9229,path_depth=2.00(↑ phish),n_dots=0.00(↑ phish),has_https=0.00(↑ phish)
example/appleid-verify.html,PHISHING,0.9454,path_depth=1.00(↑ phish),n_dots=0.00(↑ phish),has_https=0.00(↑ phish)
example/microsoft-login-clone/index.html,PHISHING,0.9404,path_depth=2.00(↑ phish),has_https=0.00(↑ phish),n_dots=0.00(↑ phish)
example/netflix-billing-review.html,PHISHING,0.9454,path_depth=1.00(↑ phish),n_dots=0.00(↑ phish),has_https=0.00(↑ phish)
example/bankofamerica-auth.html,PHISHING,0.9454,path_depth=1.00(↑ phish),n_dots=0.00(↑ phish),has_https=0.00(↑ phish)
example/paypal-demo.html,PHISHING,0.9104,path_depth=1.00(↑ phish),n_dots=0.00(↑ phish),has_https=0.00(↑ phish)
https://stackoverflow.com/users/login?ssrc=head&returnurl=https%3a%2f%2fstackoverflow.com%2fquestions,PHISHING,0.8329,path_depth=2.00(↑ phish),url_length=101.00(↑ phish),special_char_count=4.00(↑ phish)
https://google.com,BENIGN,0.0596,path_depth=0.00(↓ benign),url_length=18.00(↓ benign),has_https=1.00(↓ benign)
https://gtld-servers.net,BENIGN,0.1521,path_depth=0.00(↓ benign),has_https=1.00(↓ benign),url_entropy=3.33(↓ benign)
https://gstatic.com,BENIGN,0.0596,path_depth=0.00(↓ benign),url_length=19.00(↓ benign),has_https=1.00(↓ benign)
https://cloudflare.com,BENIGN,0.0696,path_depth=0.00(↓ benign),url_length=22.00(↓ benign),has_https=1.00(↓ benign)
https://facebook.com,BENIGN,0.0596,path_depth=0.00(↓ benign),url_length=20.00(↓ benign),has_https=1.00(↓ benign)
https://microsoft.com,BENIGN,0.0696,path_depth=0.00(↓ benign),url_length=21.00(↓ benign),has_https=1.00(↓ benign)
https://googleapis.com,BENIGN,0.0621,path_depth=0.00(↓ benign),url_length=22.00(↓ benign),has_https=1.00(↓ benign)
https://youtube.com,BENIGN,0.0571,path_depth=0.00(↓ benign),url_length=19.00(↓ benign),has_https=1.00(↓ benign)
https://mail.ru,BENIGN,0.0571,path_depth=0.00(↓ benign),url_length=15.00(↓ benign),has_https=1.00(↓ benign)
https://apple.com,BENIGN,0.0696,path_depth=0.00(↓ benign),url_length=17.00(↓ benign),has_https=1.00(↓ benign)
