url,true_label,p_phish,reason_1,reason_2,reason_3
https://training-lab.local/paypal-clone/login,PHISHING,0.9254,url_length=45.00(↑ phish),path_depth=2.00(↑ phish),html_length=251.00(↑ phish)
http://10.0.0.8/facebook/session-check,PHISHING,0.8454,url_length=38.00(↑ phish),path_depth=2.00(↑ phish),html_length=241.00(↑ phish)
https://secure-amazon-check.example/signin-review,PHISHING,0.9404,url_length=49.00(↑ phish),path_depth=1.00(↑ phish),url_entropy=3.82(↑ phish)
https://accounts.google.verify-demo.example/login,PHISHING,0.9379,url_length=49.00(↑ phish),path_depth=1.00(↑ phish),url_entropy=4.15(↑ phish)
https://appleid-support.demo/account/verify?id=123456789,PHISHING,0.9429,url_length=56.00(↑ phish),path_depth=2.00(↑ phish),url_entropy=3.62(↑ phish)
https://microsoft-security.demo/windows/login,PHISHING,0.9454,url_length=45.00(↑ phish),path_depth=2.00(↑ phish),url_entropy=3.71(↑ phish)
https://netflix-billing-review.example/account/payment,PHISHING,0.9454,url_length=54.00(↑ phish),path_depth=2.00(↑ phish),url_entropy=3.79(↑ phish)
https://bankofamerica-auth.demo-security.example/auth,PHISHING,0.9404,url_length=53.00(↑ phish),path_depth=1.00(↑ phish),url_entropy=4.22(↑ phish)
https://paypa1-demo.example/cgi-bin/webscr?cmd=_login-run,PHISHING,0.9154,url_length=57.00(↑ phish),path_depth=2.00(↑ phish),html_length=252.00(↑ phish)
https://facebook-security-check.example/login.php?redirect=home,PHISHING,0.9429,url_length=63.00(↑ phish),path_depth=1.00(↑ phish),url_entropy=4.06(↑ phish)
https://google.com,BENIGN,0.0571,url_length=18.00(↓ benign),path_depth=0.00(↓ benign),url_entropy=2.65(↓ benign)
https://gtld-servers.net,BENIGN,0.1496,url_length=24.00(↓ benign),path_depth=0.00(↓ benign),url_entropy=3.33(↓ benign)
https://gstatic.com,BENIGN,0.0571,url_length=19.00(↓ benign),path_depth=0.00(↓ benign),url_entropy=3.10(↓ benign)
https://facebook.com,BENIGN,0.0596,url_length=20.00(↓ benign),path_depth=0.00(↓ benign),url_entropy=3.02(↓ benign)
https://cloudflare.com,BENIGN,0.0846,url_length=22.00(↓ benign),path_depth=0.00(↓ benign),html_length=981267.00(↓ benign)
https://microsoft.com,BENIGN,0.0596,url_length=21.00(↓ benign),path_depth=0.00(↓ benign),url_entropy=3.03(↓ benign)
https://googleapis.com,BENIGN,0.0596,url_length=22.00(↓ benign),path_depth=0.00(↓ benign),url_entropy=3.32(↓ benign)
https://mail.ru,BENIGN,0.0571,url_length=15.00(↓ benign),path_depth=0.00(↓ benign),url_entropy=2.81(↓ benign)
https://youtube.com,BENIGN,0.0596,url_length=19.00(↓ benign),path_depth=0.00(↓ benign),url_entropy=3.10(↓ benign)
https://apple.com,BENIGN,0.0571,url_length=17.00(↓ benign),path_depth=0.00(↓ benign),url_entropy=2.95(↓ benign)
